YEARMODA,TEMP,MAX,MIN,WDSP,MXSPD,PRCP
04/22/1990,86.7,93.2,82.8,4.9,7.8,0
04/23/1990,86.7,93.6,82.4,5.3,9.7,0
04/24/1990,89.6,95.9,82,4.4,7.8,0
04/25/1990,88.5,96.8,82.4,6.4,13.6,0
04/26/1990,88.4,97.2,82.2,8,21.4,0
04/27/1990,89.4,97.2,81.7,7.1,13.6,0
04/28/1990,88.5,95.7,82,8,15.5,0
04/29/1990,87.9,94.6,82.4,5.3,9.7,0
04/30/1990,86.8,93.7,82.8,2.5,3.9,0
05/01/1990,87.5,93.7,82.8,5,13.6,0
05/02/1990,88.2,93,82.4,5.3,9.7,0
05/03/1990,88.6,95,82.4,2.6,3.9,0
05/04/1990,85.2,93.2,77.4,3.2,7.8,0
05/05/1990,87.9,94.6,77.4,7,13.6,1.06
05/06/1990,87.2,94.5,75.2,6.3,19.4,0
05/07/1990,87.3,96.8,82.8,3.6,7.8,0
05/08/1990,87.2,93.7,82,2.7,5.8,0
05/09/1990,88.1,96.4,81.5,7.5,15.5,0
05/10/1990,87.8,94.1,82.2,3.9,11.7,0
05/11/1990,86.5,98.6,81,2.6,5.8,0
05/12/1990,88.3,95,82.4,6.6,17.5,0
05/13/1990,85.8,93.2,79.2,7.8,19.4,0
05/14/1990,86.5,94.5,79.2,2.9,5.8,0.28
05/15/1990,89.5,95.4,83.3,7.4,17.5,0
05/16/1990,88.3,95,84,4.9,7.8,0
05/17/1990,88.1,95,83.2,5.65,8.75,0
05/18/1990,87.9,95,82.4,6.4,9.7,0
05/19/1990,83.9,91.4,79.9,3.4,7.8,0
05/20/1990,83.7,92.1,77,4.2,11.7,0.16
05/21/1990,82,85.6,78.1,2.6,3.9,0.12
05/22/1990,83.8,86.9,79.7,2.6,5.8,0.91
05/23/1990,83.8,89.6,81.1,1.9,1.9,0.28
05/24/1990,83.4,90.7,79.9,3.1,7.8,0.51
05/25/1990,85.6,91.4,80.6,3.2,5.8,0.04
05/26/1990,85.8,90.7,81.3,6.9,15.5,0
05/27/1990,82.1,87.8,78.4,5.1,17.5,0.16
05/28/1990,81.8,87.4,78.4,5.2,11.7,0.35
05/29/1990,81.1,85.1,78.8,2.5,5.8,0
05/30/1990,81.8,89.4,78.4,2.6,3.9,0.39
05/31/1990,81.4,85.5,78.4,4.9,7.8,1.61
06/01/1990,80.5,86,75.2,9.7,23.3,0.31
06/02/1990,84,88.3,78.1,9,23.3,0.71
06/03/1990,85.9,90.9,80.6,6.6,11.7,0
06/04/1990,85.5,92.5,82.4,3.6,7.8,0
06/05/1990,88,93.7,82.9,4.6,13.6,0
06/06/1990,83.3,89.6,78.3,4.9,9.7,0
06/07/1990,84.9,89.2,78.3,3.1,5.8,2.76
06/08/1990,85.2,89.6,82,2.7,3.9,0.01
06/09/1990,85.7,90.3,82,4.7,13.6,0.04
06/10/1990,84.5,89.6,81.1,3.1,5.8,0.02
06/11/1990,86.8,95.4,81.1,3.3,5.8,0.04
,86.3,94.1,80.65,3.3,5.8,0.395
06/13/1990,85.8,92.8,80.2,3.3,5.8,0.75
06/14/1990,81.3,88.3,74.8,4.9,15.5,0
06/15/1990,81.5,83.3,71.2,3.9,5.8,1.97
06/16/1990,85.4,90,80.6,8.9,19.4,0.2
06/17/1990,85.8,90,81.7,6.3,9.7,0
06/18/1990,84.9,90.9,79.9,3.9,11.7,0.24
06/19/1990,83.1,86.9,77,8.7,38.9,0.35
06/20/1990,80.2,84,77.5,3,3.9,0.37
06/21/1990,80,82.4,76.5,15.9,23.3,0.79
06/22/1990,81.7,84.2,76.5,16.8,42.7,1.26
06/23/1990,81.6,86.9,78.6,6.5,11.7,1
06/24/1990,80.8,85.5,78.6,5.8,25.3,0.63
